model,metric,value
gpt-3.5-turbo,total_input_tokens_est,276952
gpt-3.5-turbo,total_output_tokens_est,9594
gpt-3.5-turbo,estimated_cost_usd_dev_subset,0.1529
gpt-3.5-turbo,wall_clock_minutes_dev_subset,31.099116666666664
gpt-3.5-turbo,games_per_minute,0.6431050828346143
gpt-3.5-turbo,avg_rounds_used,24.15
gpt-3.5-turbo,host_irrelevant_answer_rate,0.38626609442060084
gpt-3.5-turbo,avg_agent_response_chars,102.2274678111588
gpt-4o,total_input_tokens_est,188515
gpt-4o,total_output_tokens_est,5669
gpt-4o,estimated_cost_usd_dev_subset,0.528
gpt-4o,wall_clock_minutes_dev_subset,32.654466666666664
gpt-4o,games_per_minute,0.3981078647739871
gpt-4o,avg_rounds_used,25.0
gpt-4o,host_irrelevant_answer_rate,0.3415384615384615
gpt-4o,avg_agent_response_chars,88.91076923076923
llama-3.1-8b,total_input_tokens_est,441035
llama-3.1-8b,total_output_tokens_est,14655
llama-3.1-8b,estimated_cost_usd_dev_subset,0.0232
llama-3.1-8b,wall_clock_minutes_dev_subset,19.457150000000002
llama-3.1-8b,games_per_minute,1.0278997694934766
llama-3.1-8b,avg_rounds_used,25.0
llama-3.1-8b,host_irrelevant_answer_rate,0.104
llama-3.1-8b,avg_agent_response_chars,138.506
vicuna-13b-local,total_input_tokens_est,387786
vicuna-13b-local,total_output_tokens_est,13245
vicuna-13b-local,estimated_cost_usd_dev_subset,0.0
vicuna-13b-local,wall_clock_minutes_dev_subset,23.118833333333335
vicuna-13b-local,games_per_minute,0.8650955570134017
vicuna-13b-local,avg_rounds_used,25.0
vicuna-13b-local,host_irrelevant_answer_rate,0.3
vicuna-13b-local,avg_agent_response_chars,128.594
claude-sonnet-5,total_input_tokens_est,242863
claude-sonnet-5,total_output_tokens_est,10381
claude-sonnet-5,estimated_cost_usd_dev_subset,0.5895
claude-sonnet-5,wall_clock_minutes_dev_subset,32.97281666666667
claude-sonnet-5,games_per_minute,0.6065602524099397
claude-sonnet-5,avg_rounds_used,25.0
claude-sonnet-5,host_irrelevant_answer_rate,0.3841642228739003
claude-sonnet-5,avg_agent_response_chars,145.98826979472142
